                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8398,                 5.0451,                 3.9464,                0.00059,                0.13027,                0.00109,                0.00023,                 2.6115,                 5.2173,                 3.7545,              0.0033283,              0.0033283,              0.0033283
                      2,                 1.9319,                 4.2791,                 2.6878,                0.04192,                0.37762,                0.09994,                0.04344,                 2.0008,                 3.5658,                 2.8506,              0.0066286,              0.0066286,              0.0066286
                      3,                 1.3554,                 3.3652,                 1.9837,                0.25152,                0.49158,                0.36202,                0.23589,                 1.3025,                 2.4391,                 1.8624,               0.009896,               0.009896,               0.009896
                      4,                 1.1565,                 2.7359,                 1.7418,                0.47482,                0.61397,                0.58046,                 0.4354,                 1.0414,                 1.7952,                  1.529,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0372,                 2.2807,                 1.5835,                0.58606,                0.65117,                0.70501,                0.54969,                0.89347,                 1.5261,                  1.394,              0.0098515,              0.0098515,              0.0098515
                      6,                0.97243,                 1.9902,                 1.5006,                0.56578,                0.72751,                0.73603,                0.57056,                0.95925,                 1.3726,                 1.3971,               0.009802,               0.009802,               0.009802
                      7,                0.92266,                 1.7452,                 1.4322,                 0.7713,                0.70396,                0.82953,                  0.625,                 1.0425,                 1.1309,                 1.4369,              0.0097525,              0.0097525,              0.0097525
                      8,                0.87738,                 1.5672,                 1.3878,                0.80558,                0.75767,                0.85595,                0.67411,                0.98537,                0.95762,                 1.3861,               0.009703,               0.009703,               0.009703
                      9,                0.85369,                 1.4622,                 1.3581,                0.78192,                0.83097,                0.89168,                0.71228,                0.88864,                0.85851,                  1.313,              0.0096535,              0.0096535,              0.0096535
                     10,                0.82314,                 1.3521,                 1.3228,                0.85768,                0.80245,                 0.8876,                0.70449,                0.92394,                 0.8527,                 1.3403,               0.009604,               0.009604,               0.009604
                     11,                0.80346,                  1.273,                 1.3022,                0.86445,                 0.8082,                0.89437,                0.71894,                0.86581,                0.81392,                 1.2846,              0.0095545,              0.0095545,              0.0095545
                     12,                0.77897,                 1.2128,                 1.2794,                0.90032,                0.80619,                0.91319,                0.70674,                0.95153,                0.80027,                 1.3553,               0.009505,               0.009505,               0.009505
                     13,                0.76604,                 1.1521,                 1.2633,                0.86888,                0.81596,                0.92124,                0.72441,                0.93974,                0.72852,                 1.3516,              0.0094555,              0.0094555,              0.0094555
